INSERT INTO marks (assessment_id, reg_num, marked_obtained, status) VALUES
(40, 'TG-2023-0006', 66.43, 'Present'),
(40, 'TG-2023-0007', 61.85, 'Present'),
(40, 'TG-2023-0008', 63.13, 'Present'),
(40, 'TG-2023-0009', 77.7, 'Present'),
(40, 'TG-2023-0010', 98.91, 'Present'),
(41, 'TG-2023-0001', 87.17, 'Present'),
(41, 'TG-2023-0002', 87.15, 'Present'),
(41, 'TG-2023-0003', 99.46, 'Present'),
(41, 'TG-2023-0004', 0.0, 'Absent'),
(41, 'TG-2023-0005', 40.08, 'Present'),
(41, 'TG-2023-0006', 75.76, 'Present'),
(41, 'TG-2023-0007', 74.69, 'Present'),
(41, 'TG-2023-0008', 49.41, 'Present'),
(41, 'TG-2023-0009', 98.68, 'Present'),
(41, 'TG-2023-0010', 0.0, 'Absent'),
(42, 'TG-2023-0001', 97.71, 'Present'),
(42, 'TG-2023-0002', 43.66, 'Present'),
(42, 'TG-2023-0003', 54.73, 'Present'),
(42, 'TG-2023-0004', 74.55, 'Present'),
(42, 'TG-2023-0005', 0.0, 'Absent'),
(42, 'TG-2023-0006', 51.58, 'Present'),
(42, 'TG-2023-0007', 96.71, 'Present'),
(42, 'TG-2023-0008', 0.0, 'Absent'),
(42, 'TG-2023-0009', 60.23, 'Present'),
(42, 'TG-2023-0010', 41.39, 'Present'),
(43, 'TG-2023-0001', 86.99, 'Present'),
(43, 'TG-2023-0002', 48.18, 'Present'),
(43, 'TG-2023-0003', 42.27, 'Present'),
(43, 'TG-2023-0004', 41.83, 'Present'),
(43, 'TG-2023-0005', 62.06, 'Present'),
(43, 'TG-2023-0006', 75.47, 'Present'),
(43, 'TG-2023-0007', 52.81, 'Present'),
(43, 'TG-2023-0008', 50.92, 'Present'),
(43, 'TG-2023-0009', 43.36, 'Present'),
(43, 'TG-2023-0010', 71.93, 'Present'),
(44, 'TG-2023-0001', 64.28, 'Present'),
(44, 'TG-2023-0002', 0.0, 'Absent'),
(44, 'TG-2023-0003', 40.26, 'Present'),
(44, 'TG-2023-0004', 0.0, 'Absent'),
(44, 'TG-2023-0005', 84.25, 'Present'),
(44, 'TG-2023-0006', 44.85, 'Present'),
(44, 'TG-2023-0007', 62.23, 'Present'),
(44, 'TG-2023-0008', 49.1, 'Present'),
(44, 'TG-2023-0009', 0.0, 'Absent'),
(44, 'TG-2023-0010', 77.59, 'Present'),
(45, 'TG-2023-0001', 93.02, 'Present'),
(45, 'TG-2023-0002', 79.58, 'Present'),
(45, 'TG-2023-0003', 57.52, 'Present'),
(45, 'TG-2023-0004', 55.88, 'Present'),
(45, 'TG-2023-0005', 47.21, 'Present'),
(45, 'TG-2023-0006', 60.72, 'Present'),
(45, 'TG-2023-0007', 60.19, 'Present'),
(45, 'TG-2023-0008', 58.92, 'Present'),
(45, 'TG-2023-0009', 0.0, 'Absent'),
(45, 'TG-2023-0010', 0.0, 'Absent'),
(46, 'TG-2023-0001', 60.12, 'Present'),
(46, 'TG-2023-0002', 50.61, 'Present'),
(46, 'TG-2023-0003', 40.73, 'Present'),
(46, 'TG-2023-0004', 43.19, 'Present'),
(46, 'TG-2023-0005', 48.04, 'Present'),
(46, 'TG-2023-0006', 79.12, 'Present'),
(46, 'TG-2023-0007', 59.78, 'Present'),
(46, 'TG-2023-0008', 41.6, 'Present'),
(46, 'TG-2023-0009', 42.14, 'Present'),
(46, 'TG-2023-0010', 94.92, 'Present'),
(47, 'TG-2023-0001', 74.92, 'Present'),
(47, 'TG-2023-0002', 0.0, 'Absent'),
(47, 'TG-2023-0003', 59.19, 'Present'),
(47, 'TG-2023-0004', 99.26, 'Present'),
(47, 'TG-2023-0005', 62.96, 'Present'),
(47, 'TG-2023-0006', 42.76, 'Present'),
(47, 'TG-2023-0007', 95.53, 'Present'),
(47, 'TG-2023-0008', 95.96, 'Present'),
(47, 'TG-2023-0009', 82.93, 'Present'),
(47, 'TG-2023-0010', 94.83, 'Present'),
(48, 'TG-2023-0001', 58.45, 'Present'),
(48, 'TG-2023-0002', 0.0, 'Absent'),
(48, 'TG-2023-0003', 80.65, 'Present'),
(48, 'TG-2023-0004', 86.83, 'Present'),
(48, 'TG-2023-0005', 68.91, 'Present'),
(48, 'TG-2023-0006', 96.08, 'Present'),
(48, 'TG-2023-0007', 90.56, 'Present'),
(48, 'TG-2023-0008', 71.75, 'Present'),
(48, 'TG-2023-0009', 76.17, 'Present'),
(48, 'TG-2023-0010', 41.0, 'Present'),
(49, 'TG-2023-0001', 76.23, 'Present'),
(49, 'TG-2023-0002', 0.0, 'Absent'),
(49, 'TG-2023-0003', 74.12, 'Present'),
(49, 'TG-2023-0004', 76.11, 'Present'),
(49, 'TG-2023-0005', 66.68, 'Present'),
(49, 'TG-2023-0006', 42.62, 'Present'),
(49, 'TG-2023-0007', 70.53, 'Present'),
(49, 'TG-2023-0008', 89.27, 'Present'),
(49, 'TG-2023-0009', 43.97, 'Present'),
(49, 'TG-2023-0010', 96.81, 'Present'),
(50, 'TG-2023-0001', 63.52, 'Present'),
(50, 'TG-2023-0002', 85.06, 'Present'),
(50, 'TG-2023-0003', 78.62, 'Present'),
(50, 'TG-2023-0004', 43.17, 'Present'),
(50, 'TG-2023-0005', 86.55, 'Present'),
(50, 'TG-2023-0006', 0.0, 'Absent'),
(50, 'TG-2023-0007', 83.18, 'Present'),
(50, 'TG-2023-0008', 95.64, 'Present'),
(50, 'TG-2023-0009', 80.38, 'Present'),
(50, 'TG-2023-0010', 44.26, 'Present'),
(51, 'TG-2023-0001', 78.34, 'Present'),
(51, 'TG-2023-0002', 48.22, 'Present'),
(51, 'TG-2023-0003', 92.04, 'Present'),
(51, 'TG-2023-0004', 40.6, 'Present'),
(51, 'TG-2023-0005', 52.26, 'Present'),
(51, 'TG-2023-0006', 85.67, 'Present'),
(51, 'TG-2023-0007', 89.4, 'Present'),
(51, 'TG-2023-0008', 72.15, 'Present'),
(51, 'TG-2023-0009', 89.54, 'Present'),
(51, 'TG-2023-0010', 94.01, 'Present'),
(52, 'TG-2023-0001', 61.63, 'Present'),
(52, 'TG-2023-0002', 46.53, 'Present'),
(52, 'TG-2023-0003', 74.47, 'Present'),
(52, 'TG-2023-0004', 71.49, 'Present'),
(52, 'TG-2023-0005', 94.07, 'Present'),
(52, 'TG-2023-0006', 58.73, 'Present'),
(52, 'TG-2023-0007', 79.82, 'Present'),
(52, 'TG-2023-0008', 60.95, 'Present'),
(52, 'TG-2023-0009', 51.34, 'Present'),
(52, 'TG-2023-0010', 0.0, 'Absent'),
(53, 'TG-2023-0001', 94.3, 'Present'),
(53, 'TG-2023-0002', 65.68, 'Present'),
(53, 'TG-2023-0003', 52.16, 'Present'),
(53, 'TG-2023-0004', 45.74, 'Present'),
(53, 'TG-2023-0005', 74.04, 'Present'),
(53, 'TG-2023-0006', 64.33, 'Present'),
(53, 'TG-2023-0007', 0.0, 'Absent'),
(53, 'TG-2023-0008', 0.0, 'Absent'),
(53, 'TG-2023-0009', 0.0, 'Absent'),
(53, 'TG-2023-0010', 70.1, 'Present'),
(54, 'TG-2023-0001', 73.88, 'Present'),
(54, 'TG-2023-0002', 86.09, 'Present'),
